Date,S&P_500,2Y_Treasury,10Y_Treasury,30Y_Treasury
2001-06-30 00:00:00+00:00,1224.3800048828125,3.559999942779541,5.389999866485596,5.736000061035156
2001-07-31 00:00:00+00:00,1211.22998046875,3.440000057220459,5.0370001792907715,5.501999855041504
2001-08-31 00:00:00+00:00,1133.5799560546875,3.2799999713897705,4.815999984741211,5.368000030517578
2001-09-30 00:00:00+00:00,1040.93994140625,2.299999952316284,4.574999809265137,5.414999961853027
2001-10-31 00:00:00+00:00,1059.780029296875,2.009999990463257,4.263000011444092,4.873000144958496
2001-11-30 00:00:00+00:00,1139.449951171875,1.7300000190734863,4.74399995803833,5.264999866485596
2001-12-31 00:00:00+00:00,1148.0799560546875,1.6699999570846558,5.0320000648498535,5.478000164031982
2002-01-31 00:00:00+00:00,1130.199951171875,1.7200000286102295,5.025000095367432,5.426000118255615
2002-02-28 00:00:00+00:00,1106.72998046875,1.7200000286102295,4.859000205993652,5.408999919891357
2002-03-31 00:00:00+00:00,1147.3900146484375,1.7400000095367432,5.406000137329102,5.815000057220459
2002-04-30 00:00:00+00:00,1076.9200439453125,1.7300000190734863,5.091000080108643,5.593999862670898
2002-05-31 00:00:00+00:00,1067.1400146484375,1.7050000429153442,5.043000221252441,5.611999988555908
2002-06-30 00:00:00+00:00,989.8200073242188,1.659000039100647,4.823999881744385,5.517000198364258
2002-07-31 00:00:00+00:00,911.6199951171875,1.6649999618530273,4.465000152587891,5.304999828338623
2002-08-31 00:00:00+00:00,916.0700073242188,1.6449999809265137,4.13700008392334,4.936999797821045
2002-09-30 00:00:00+00:00,815.280029296875,1.5269999504089355,3.6070001125335693,4.6620001792907715
2002-10-31 00:00:00+00:00,885.760009765625,1.4170000553131104,3.9110000133514404,5.006999969482422
2002-11-30 00:00:00+00:00,936.3099975585938,1.2020000219345093,4.2129998207092285,5.047999858856201
2002-12-31 00:00:00+00:00,879.8200073242188,1.1820000410079956,3.818000078201294,4.7829999923706055
2003-01-31 00:00:00+00:00,855.7000122070312,1.1480000019073486,3.9749999046325684,4.8470001220703125
2003-02-28 00:00:00+00:00,841.1500244140625,1.1749999523162842,3.696000099182129,4.676000118255615
2003-03-31 00:00:00+00:00,848.1799926757812,1.090000033378601,3.822999954223633,4.836999893188477
