date,ASML,GLDD
2017-08-31,145.9568,4.05
2017-09-29,159.8606,4.85
2017-10-31,168.778,5.1
2017-11-30,163.8944,5.0
2017-12-29,162.307,5.4
2018-01-31,189.5169,4.7
2018-02-28,182.4483,4.55
2018-03-29,185.4084,4.6
2018-04-30,177.3082,4.6
2018-05-31,185.0234,5.025
2018-06-29,186.2653,5.25
2018-07-31,201.3476,5.4
2018-08-31,192.9267,5.475
2018-09-28,176.9036,6.2
2018-10-31,162.1695,5.81
2018-11-30,161.2192,7.41
2018-12-31,146.4192,6.62
2019-01-31,164.6816,7.07
2019-02-28,172.0581,8.9
2019-03-29,176.9318,8.91
2019-04-30,198.3628,10.23
2019-05-31,178.6329,10.64
2019-06-28,197.5173,11.04
2019-07-31,211.6522,10.73
2019-08-30,211.4622,10.84
2019-09-30,235.9797,10.45
2019-10-31,248.8511,10.75
2019-11-29,259.0938,10.68
2019-12-31,283.3354,11.33
2020-01-31,268.7062,10.47
2020-02-28,264.9244,9.7
2020-03-31,250.4963,8.3
2020-04-30,277.3177,8.84
2020-05-29,316.815,9.27
2020-06-30,353.8509,9.26
2020-07-31,340.0923,8.36
2020-08-31,359.764,9.37
2020-09-30,355.0432,9.51
2020-10-30,347.2937,10.33
2020-11-30,422.2328,11.29
2020-12-31,470.453,13.17
2021-01-29,515.2488,13.63
2021-02-26,547.013,15.19
2021-03-31,595.5032,14.58
2021-04-30,625.1549,15.7
2021-05-28,653.4174,14.61
2021-06-30,668.2856,14.61
2021-07-30,741.7076,15.4
2021-08-31,805.8431,15.11
2021-09-30,720.7838,15.09
2021-10-29,786.3413,15.22
2021-11-30,767.6432,14.78
2021-12-31,772.1336,15.72
2022-01-31,656.7801,13.69
2022-02-28,646.4124,14.11
2022-03-31,647.7896,14.03
2022-04-29,546.7704,13.81
2022-05-31,563.0167,14.7
2022-06-30,464.9194,13.11
2022-07-29,561.2093,12.93
2022-08-31,479.791,9.57
2022-09-30,406.7461,7.58
2022-10-31,462.6339,7.56
2022-11-30,597.3374,7.32
2022-12-30,536.7117,5.95
2023-01-31,649.1226,6.88
2023-02-28,608.1432,5.735
2023-03-31,670.1458,5.43
2023-04-28,626.9763,5.73
2023-05-31,713.7707,6.34
2023-06-30,715.5676,8.16
2023-07-31,707.3333,8.4
2023-08-31,653.6594,8.83
2023-09-29,582.537,7.97
2023-10-31,592.5814,7.6
2023-11-30,678.3494,6.72
2023-12-29,750.9305,7.68
2024-01-31,862.9371,7.64
2024-02-29,945.7839,8.94
2024-03-28,964.4575,8.75
2024-04-30,868.832,6.6
2024-05-31,956.3456,9.15
2024-06-28,1018.4655,8.78
2024-07-31,934.5551,9.43
2024-08-30,901.8002,9.95
2024-09-30,831.3419,10.53
2024-10-31,672.55,11.43
2024-11-27,670.48,12.515
